name,ranking,views_total,views_202604
Aryna Sabalenka,1,124336,124336
Elena Rybakina,2,80049,80049
Iga Świątek,3,55916,55916
Coco Gauff,4,58465,58465
Jessica Pegula,5,58043,58043
Amanda Anisimova,6,15521,15521
Mirra Andreeva,7,68829,68829
Jasmine Paolini,8,19388,19388
Victoria Mboko,9,12928,12928
Elina Svitolina,10,25904,25904
Karolina Muchova,11,22460,22460
Belinda Bencic,12,17340,17340
Linda Noskova,13,15149,15149
Ekaterina Alexandrova,14,6332,6332
Marta Kostyuk,15,44068,44068
Naomi Osaka,16,44825,44825
Iva Jovic,17,67374,67374
Clara Tauson,18,3302,3302
Madison Keys,19,38948,38948
Diana Shnaider,20,20461,20461
